Service,Monthly,Description
S3 Bucket,23,S3 Standard storage (1000 GB per month)
Amazon VPC,482.85,Number of NAT Gateways (1)
Amazon RDS MySQL,3033.2,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (1), Instance type (db.r5.4xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
Amazon EC2,574.26,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (r6g.xlarge)"
Amazon EC2,574.26,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (r6g.xlarge)"
Elastic Load Balancer,2060.43,Application Load Balancer - 1
Elastic Load Balancer,1330.43,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (100 GB per hour), Processed bytes per NLB for TLS (200 GB per hour), Average number of new TLS connections (10 per second), Average TLS connection duration (50 seconds)"
Total (USD),8078.43,
